"Table 080-0020 XX Retail trade, sales by the North American Industry Classification System (NAICS), monthly (dollars x 1,000)(2,3,4,5,6)",,
Survey or program details:,,
Retail Trade Survey (Monthly) - 2406,,
Monthly Retail Trade Survey (Department Store Organizations) - 2408,,
Geography,Canada,Canada
North American Industry Classification System (NAICS),Retail trade [44-45] ,Retail trade [44-45] 
Adjustments,Unadjusted,Seasonally adjusted
Jan-91,12588862,15026890
Feb-91,12154321,15304585
Mar-91,14337072,15413591
Apr-91,15108570,15293409
May-91,17225734,15676083
Jun-91,16342833,15507931
Jul-91,15996243,15556313
Aug-91,16064910,15430645
Sep-91,15015317,15427313
Oct-91,15606864,15410250
Nov-91,16237366,15662790
Dec-91,18381340,15349625
Jan-92,13084963,15477875
Feb-92,12773972,15513022
Mar-92,14198775,15527933
Apr-92,15558390,15708556
May-92,16776396,15642000
Jun-92,16716231,15823989
Jul-92,16637483,15869453
Aug-92,15842075,15844631
Sep-92,15812400,15983239
Oct-92,16562268,16125835
Nov-92,16015869,16049478
Dec-92,19682921,16095727
Jan-93,13672727,16408864
Feb-93,12900733,16239039
Mar-93,15211859,16314960
Apr-93,16642246,16577426
May-93,17442405,16472045
Jun-93,17444074,16351907
Jul-93,17610326,16712914
Aug-93,16645660,16703413
Sep-93,16790330,16755338
Oct-93,16921755,16819382
Nov-93,17124609,16958202
Dec-93,20928208,17021436
Jan-94,14005058,17076164
Feb-94,13799079,17393150
Mar-94,16865149,17890903
Apr-94,17494589,17507688
May-94,18739509,17775079
Jun-94,19323481,17882069
Jul-94,18297834,17785800
Aug-94,18101290,17881976
Sep-94,18161417,17952647
Oct-94,17998875,18193703
Nov-94,18516766,18264676
Dec-94,22688647,18387840
Jan-95,14927996,18337565
Feb-95,14520623,18259470
Mar-95,17457477,18225708
Apr-95,17774107,18217661
May-95,19740889,18333051
Jun-95,20319460,18503481
Jul-95,18747299,18407254
Aug-95,19280525,18720783
Sep-95,18860566,18628735
Oct-95,18177152,18412692
Nov-95,18962903,18506305
Dec-95,22308880,18525162
Jan-96,15379086,18531426
Feb-96,15521981,18657652
Mar-96,17613469,18774049
Apr-96,18421405,18739023
May-96,20624568,18758009
Jun-96,20099348,18977805
Jul-96,19423284,18914063
Aug-96,19889359,19071178
Sep-96,18589571,19019991
Oct-96,19686383,19488074
Nov-96,20293165,19820074
Dec-96,22897980,19688254
Jan-97,16882321,19857365
Feb-97,16033605,20141489
Mar-97,18225453,20056949
Apr-97,20432272,20215340
May-97,22594727,20386953
Jun-97,21577744,20466883
Jul-97,21570145,20681230
Aug-97,21065784,20605349
Sep-97,20532806,20646564
Oct-97,21491163,21037021
Nov-97,20904746,20973561
Dec-97,25507180,21749250
Jan-98,17736224,20776214
Feb-98,16797018,21153779
Mar-98,19408883,21041225
Apr-98,21501677,21504619
May-98,23312947,21504262
Jun-98,22654803,21247311
